#JD                    MAG              ERR               SURVEY Filter
2457037.828910000157  -0.063000000000   0.021000000000    ASAS-SN V
2457039.839600000065   0.018000000000   0.022000000000    ASAS-SN V
2457039.841029999778   0.001000000000   0.021000000000    ASAS-SN V
2457045.819149999879  -0.043000000000   0.022000000000    ASAS-SN V
2457045.820549999829  -0.029000000000   0.022000000000    ASAS-SN V
2457054.775760000106  -0.024000000000   0.035000000000    ASAS-SN V
2457054.777149999980  -0.065000000000   0.032000000000    ASAS-SN V
2457061.808679999784  -0.013000000000   0.021000000000    ASAS-SN V
2457061.810169999953  -0.028000000000   0.021000000000    ASAS-SN V
2457065.818330000155  -0.001000000000   0.023000000000    ASAS-SN V
2457065.819790000096  -0.002000000000   0.023000000000    ASAS-SN V
2457066.811309999786  -0.050000000000   0.022000000000    ASAS-SN V
2457071.771290000062  -0.008000000000   0.022000000000    ASAS-SN V
2457071.772700000089   0.004000000000   0.023000000000    ASAS-SN V
2457084.772330000065   0.333000000000   0.205000000000    ASAS-SN V
2457084.773829999845  -0.081000000000   0.114000000000    ASAS-SN V
2457088.782070000190  -0.046000000000   0.102000000000    ASAS-SN V
2457088.783480000217  -0.116000000000   0.056000000000    ASAS-SN V
2457097.745089999866   0.000000000000   0.023000000000    ASAS-SN V
2457097.746640000027  -0.020000000000   0.024000000000    ASAS-SN V
2457102.745589999948   0.021000000000   0.025000000000    ASAS-SN V
2457102.747200000100  -0.008000000000   0.026000000000    ASAS-SN V
2457227.122810000088  -0.025000000000   0.044000000000    ASAS-SN V
2457227.124330000021   0.025000000000   0.058000000000    ASAS-SN V
2457228.123339999933  -0.107000000000   0.046000000000    ASAS-SN V
2457228.124780000187   0.159000000000   0.074000000000    ASAS-SN V
2457229.121859999839   0.033000000000   0.039000000000    ASAS-SN V
2457229.123279999942   0.015000000000   0.046000000000    ASAS-SN V
2457229.124689999968  -0.040000000000   0.050000000000    ASAS-SN V
2457230.118689999916   0.006000000000   0.029000000000    ASAS-SN V
2457230.120110000018   0.035000000000   0.040000000000    ASAS-SN V
2457232.112379999831   0.113000000000   0.030000000000    ASAS-SN V
2457232.113839999773   0.065000000000   0.029000000000    ASAS-SN V
2457246.090340000112  -0.016000000000   0.023000000000    ASAS-SN V
2457246.091769999824  -0.015000000000   0.023000000000    ASAS-SN V
2457262.046659999993  -0.071000000000   0.033000000000    ASAS-SN V
2457262.047919999808  -0.099000000000   0.030000000000    ASAS-SN V
2457262.049170000013   0.091000000000   0.038000000000    ASAS-SN V
2457273.137810000218  -0.044000000000   0.028000000000    ASAS-SN V
2457273.143970000092   0.017000000000   0.049000000000    ASAS-SN V
2457274.101160000078  -0.064000000000   0.021000000000    ASAS-SN V
2457274.102409999818  -0.036000000000   0.021000000000    ASAS-SN V
2457274.103660000023  -0.032000000000   0.023000000000    ASAS-SN V
2457278.064429999795  -0.029000000000   0.021000000000    ASAS-SN V
2457278.065680000000  -0.065000000000   0.022000000000    ASAS-SN V
2457285.133289999794  -0.030000000000   0.030000000000    ASAS-SN V
2457285.134209999815  -0.067000000000   0.027000000000    ASAS-SN V
