# BJD-2454833, Blended_Flux, Deblended_Flux, Error
2.988439382840922917e+03 9.968795722465100262e-01 9.937591444930200524e-01 1.129487174284200742e-04
2.988459815133224765e+03 9.971959520923370235e-01 9.943919041846740470e-01 1.129487174284200742e-04
2.988480247225066705e+03 9.975554890025606358e-01 9.951109780051212717e-01 1.129487174284200742e-04
2.988500679415978084e+03 9.979099067454435534e-01 9.958198134908871069e-01 1.129487174284200742e-04
2.988521111706417287e+03 9.983581110072570208e-01 9.967162220145140417e-01 1.129487174284200742e-04
2.988541543796862243e+03 9.986298258885057955e-01 9.972596517770115909e-01 1.129487174284200742e-04
2.988561975985910976e+03 9.991162343798414280e-01 9.982324687596828561e-01 1.129487174284200742e-04
2.988582408274953195e+03 9.996911723967836227e-01 9.993823447935672455e-01 1.129487174284200742e-04
2.988602840363535506e+03 1.000172835599505872e+00 1.000345671199011743e+00 1.129487174284200742e-04
2.988623272551187256e+03 1.000603330184065554e+00 1.001206660368131107e+00 1.129487174284200742e-04
2.988643704738831730e+03 1.000660042561285268e+00 1.001320085122570536e+00 1.129487174284200742e-04
2.988664136925552157e+03 1.001162442448408019e+00 1.002324884896816037e+00 1.129487174284200742e-04
2.988684569211807684e+03 1.001423812405323410e+00 1.002847624810646820e+00 1.129487174284200742e-04
2.988705001297596027e+03 1.001718870811398876e+00 1.003437741622797752e+00 1.129487174284200742e-04
2.988725433482912194e+03 1.001941377840033898e+00 1.003882755680067795e+00 1.129487174284200742e-04
2.988745865767305077e+03 1.002130876337603782e+00 1.004261752675207564e+00 1.129487174284200742e-04
2.988766297851689160e+03 1.002198379418147045e+00 1.004396758836294090e+00 1.129487174284200742e-04
2.988786730035149958e+03 1.002362505969945694e+00 1.004725011939891388e+00 1.129487174284200742e-04
2.988807162318145856e+03 1.002257552161342824e+00 1.004515104322685648e+00 1.129487174284200742e-04
2.988827594500668056e+03 1.002472223583312561e+00 1.004944447166625121e+00 1.129487174284200742e-04
2.988848026582731109e+03 1.002316971346687957e+00 1.004633942693375914e+00 1.129487174284200742e-04
2.988868458864330023e+03 1.002932851533487879e+00 1.005865703066975758e+00 1.129487174284200742e-04
2.988888891044989577e+03 1.003372418020489043e+00 1.006744836040978086e+00 1.129487174284200742e-04
2.988909323125189985e+03 1.003549849762959134e+00 1.007099699525918268e+00 1.129487174284200742e-04
2.988929755405391916e+03 1.003835915223820097e+00 1.007671830447640193e+00 1.129487174284200742e-04
2.988950187584654486e+03 1.004147778904006749e+00 1.008295557808013498e+00 1.129487174284200742e-04
2.988970619663457910e+03 1.004266917245495216e+00 1.008533834490990433e+00 1.129487174284200742e-04
2.988991051941797195e+03 1.004068486857271125e+00 1.008136973714542250e+00 1.129487174284200742e-04
2.989011484119197121e+03 1.003602257327954383e+00 1.007204514655908767e+00 1.129487174284200742e-04
