# BJD-2454833, Flux, Error
2.988275925184316293e+03 1.004140462259734079e+00 1.129487174284200742e-04
2.988296357480809093e+03 1.006689255496291846e+00 1.129487174284200742e-04
2.988316789676842745e+03 1.008727171149230939e+00 1.129487174284200742e-04
2.988337221871945076e+03 1.011270190589689921e+00 1.129487174284200742e-04
2.988357654067040130e+03 1.012675715425499279e+00 1.129487174284200742e-04
2.988378086261211138e+03 1.014008231364547097e+00 1.129487174284200742e-04
2.988398518454909208e+03 1.015424541455439034e+00 1.129487174284200742e-04
2.988418950648148893e+03 1.016729993894211148e+00 1.129487174284200742e-04
2.988439382840922917e+03 1.017936905625219879e+00 1.129487174284200742e-04
2.988459815133224765e+03 1.019133842194565043e+00 1.129487174284200742e-04
2.988480247225066705e+03 1.020298115050566556e+00 1.129487174284200742e-04
2.988500679415978084e+03 1.021382834912790250e+00 1.129487174284200742e-04
2.988521111706417287e+03 1.022488571720703732e+00 1.129487174284200742e-04
2.988541543796862243e+03 1.023346946738396657e+00 1.129487174284200742e-04
2.988561975985910976e+03 1.024351248673448733e+00 1.129487174284200742e-04
2.988582408274953195e+03 1.025377548642400827e+00 1.129487174284200742e-04
2.988602840363535506e+03 1.026246361487292313e+00 1.129487174284200742e-04
2.988623272551187256e+03 1.027002164863394240e+00 1.129487174284200742e-04
2.988643704738831730e+03 1.027324700979270755e+00 1.129487174284200742e-04
2.988664136925552157e+03 1.028035744802509477e+00 1.129487174284200742e-04
2.988684569211807684e+03 1.028450790061783637e+00 1.129487174284200742e-04
2.988705001297596027e+03 1.028846630408176477e+00 1.129487174284200742e-04
2.988725433482912194e+03 1.029118936866895151e+00 1.129487174284200742e-04
2.988745865767305077e+03 1.029308962021330487e+00 1.129487174284200742e-04
2.988766297851689160e+03 1.029329205657258939e+00 1.129487174284200742e-04
2.988786730035149958e+03 1.029399527905160205e+00 1.129487174284200742e-04
2.988807162318145856e+03 1.029155205790660998e+00 1.129487174284200742e-04
2.988827594500668056e+03 1.029185657886790173e+00 1.129487174284200742e-04
2.988848026582731109e+03 1.028801773330686675e+00 1.129487174284200742e-04
2.988868458864330023e+03 1.029144768892176209e+00 1.129487174284200742e-04
2.988888891044989577e+03 1.029267100270377266e+00 1.129487174284200742e-04
2.988909323125189985e+03 1.029082591130737745e+00 1.129487174284200742e-04
2.988929755405391916e+03 1.028961411653225966e+00 1.129487174284200742e-04
2.988950187584654486e+03 1.028819925026243087e+00 1.129487174284200742e-04
2.988970619663457910e+03 1.028438614025919629e+00 1.129487174284200742e-04
2.988991051941797195e+03 1.027691477102842033e+00 1.129487174284200742e-04
2.989011484119197121e+03 1.026627020060524087e+00 1.129487174284200742e-04
2.989031916196603561e+03 1.025857491640467911e+00 1.129487174284200742e-04
2.989052348473080201e+03 1.025041968102281542e+00 1.129487174284200742e-04
2.989072780649083143e+03 1.024336367018350069e+00 1.129487174284200742e-04
2.989093212724626937e+03 1.023510978951921890e+00 1.129487174284200742e-04
2.989113644999706594e+03 1.022441442844992388e+00 1.129487174284200742e-04
2.989134077174312552e+03 1.021107274151929367e+00 1.129487174284200742e-04
2.989154509448460885e+03 1.020310333176118078e+00 1.129487174284200742e-04
2.989174941521676374e+03 1.020092218968562836e+00 1.129487174284200742e-04
2.989195373694885348e+03 1.019359362890847276e+00 1.129487174284200742e-04
2.989215805967171036e+03 1.018317099643045509e+00 1.129487174284200742e-04
2.989236238038989541e+03 1.017342852424448552e+00 1.129487174284200742e-04
2.989256670210335869e+03 1.016383380265200254e+00 1.129487174284200742e-04
2.989277102481224574e+03 1.014096032484058219e+00 1.129487174284200742e-04
2.989297534651181195e+03 1.011937511830923730e+00 1.129487174284200742e-04
2.989317966721129778e+03 1.010107063951593442e+00 1.129487174284200742e-04
2.989338398990155838e+03 1.008066235653595877e+00 1.129487174284200742e-04
2.989358831158715475e+03 1.005878821077190732e+00 1.129487174284200742e-04
2.989379263226801413e+03 1.003824461818042524e+00 1.129487174284200742e-04
2.989399695494430489e+03 1.002449763163146157e+00 1.129487174284200742e-04
2.989420127561592381e+03 1.000594509173229563e+00 1.129487174284200742e-04
2.989440559728282096e+03 9.985461791102248075e-01 1.129487174284200742e-04
2.989460991994048527e+03 9.965096045482113585e-01 1.129487174284200742e-04
2.989501856224640505e+03 9.923463214758689865e-01 1.129487174284200742e-04
2.989522288489009952e+03 9.906176299577552635e-01 1.129487174284200742e-04
2.989542720552912215e+03 9.885628300846222016e-01 1.129487174284200742e-04
2.989563152716342302e+03 9.866073418289047492e-01 1.129487174284200742e-04
2.989583584979314764e+03 9.846316957984265761e-01 1.129487174284200742e-04
2.989604017041820043e+03 9.827765190122654815e-01 1.129487174284200742e-04
2.989624449203387485e+03 9.813408312795784960e-01 1.129487174284200742e-04
2.989644881464497303e+03 9.801538512702877570e-01 1.129487174284200742e-04
2.989665313625606359e+03 9.789055833338863311e-01 1.129487174284200742e-04
2.989685745785776817e+03 9.775170663301984142e-01 1.129487174284200742e-04
2.989706177945488889e+03 9.763009348942732757e-01 1.129487174284200742e-04
2.989726610104262363e+03 9.749763971677093410e-01 1.129487174284200742e-04
2.989747042263043113e+03 9.735850181621641397e-01 1.129487174284200742e-04
2.989767474420892540e+03 9.725262074312377436e-01 1.129487174284200742e-04
2.989787906578741968e+03 9.714361669062977489e-01 1.129487174284200742e-04
2.989808338835653558e+03 9.703011267345684754e-01 1.129487174284200742e-04
2.989828770892105240e+03 9.694954425428573552e-01 1.129487174284200742e-04
2.989849203048084746e+03 9.690009284416020163e-01 1.129487174284200742e-04
2.989869635303606628e+03 9.682300050950158887e-01 1.129487174284200742e-04
2.989890067358661327e+03 9.680808065800883266e-01 1.129487174284200742e-04
2.989910499513251125e+03 9.677279313184270482e-01 1.129487174284200742e-04
2.989930931766903086e+03 9.675561001692224439e-01 1.129487174284200742e-04
2.989951363820095139e+03 9.676116582216043316e-01 1.129487174284200742e-04
2.989971795973280678e+03 9.677979604592599205e-01 1.129487174284200742e-04
2.989992228225542931e+03 9.682997370780737079e-01 1.129487174284200742e-04
2.990012660277338000e+03 9.685840229897658693e-01 1.129487174284200742e-04
2.990033092428668169e+03 9.690843927290461179e-01 1.129487174284200742e-04
2.990053524579525401e+03 9.695376838127249819e-01 1.129487174284200742e-04
2.990073956729458587e+03 9.706185513814626908e-01 1.129487174284200742e-04
2.990094388879384496e+03 9.714319039227380381e-01 1.129487174284200742e-04
2.990114821028386359e+03 9.720686786457247708e-01 1.129487174284200742e-04
2.990135253176922561e+03 9.727875125087447339e-01 1.129487174284200742e-04
2.990155685325458762e+03 9.740746722832936966e-01 1.129487174284200742e-04
2.990176117573057127e+03 9.751327333715548162e-01 1.129487174284200742e-04
2.990196549620195583e+03 9.765177849207932192e-01 1.129487174284200742e-04
2.990216981766396202e+03 9.780093341865874201e-01 1.129487174284200742e-04
2.990237414012604859e+03 9.794940174262087851e-01 1.129487174284200742e-04
2.990257846058346331e+03 9.811137501302873432e-01 1.129487174284200742e-04
2.990278278203157242e+03 9.826484277867943984e-01 1.129487174284200742e-04
2.990298710447495978e+03 9.839824621461896736e-01 1.129487174284200742e-04
2.990319142491840466e+03 9.857192905457784482e-01 1.129487174284200742e-04
2.990339574635247118e+03 9.873213639005565812e-01 1.129487174284200742e-04
2.990360006878196145e+03 9.893886972390228962e-01 1.129487174284200742e-04
2.990380438920212328e+03 9.909995037026213538e-01 1.129487174284200742e-04
2.990400871062229271e+03 9.928786614853835069e-01 1.129487174284200742e-04
2.990421303303774039e+03 9.946359955630436067e-01 1.129487174284200742e-04
2.990441735344393237e+03 9.965658782687144557e-01 1.129487174284200742e-04
2.990462167585006682e+03 9.985155578151516664e-01 1.129487174284200742e-04
2.990482599724695319e+03 1.000471768166618203e+00 1.129487174284200742e-04
2.990503031863918295e+03 1.002060787487538462e+00 1.129487174284200742e-04
2.990523464002668334e+03 1.003942807770600743e+00 1.129487174284200742e-04
2.990543896140959987e+03 1.005782510343676606e+00 1.129487174284200742e-04
2.990564328278785979e+03 1.007508357753947204e+00 1.129487174284200742e-04
2.990584760416139034e+03 1.009476573587962722e+00 1.129487174284200742e-04
2.990605192552568042e+03 1.011206655899439033e+00 1.129487174284200742e-04
2.990625624688997050e+03 1.013041571397089502e+00 1.129487174284200742e-04
2.990646056924488221e+03 1.014493134332056679e+00 1.129487174284200742e-04
2.990666488959519484e+03 1.016044247437042136e+00 1.129487174284200742e-04
2.990686921094085847e+03 1.017449529814340670e+00 1.129487174284200742e-04
2.990707353328180034e+03 1.018957442448236606e+00 1.129487174284200742e-04
2.990727785361814313e+03 1.020202195712004656e+00 1.129487174284200742e-04
2.990748217494983692e+03 1.021452223913265289e+00 1.129487174284200742e-04
2.990768649727680895e+03 1.022685616102507744e+00 1.129487174284200742e-04
2.990789081759452529e+03 1.023788327224125272e+00 1.129487174284200742e-04
2.990809513891224924e+03 1.025096322026413764e+00 1.129487174284200742e-04
2.990829946022058721e+03 1.025551375717315139e+00 1.129487174284200742e-04
